Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for England SW and S Wales
Areal series, starting in 1910
Last updated 01-May-2026 11:32
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1991   62.9   74.4   99.7  149.5  172.2  135.2  158.1  205.3  171.9   83.4   48.3   36.0   185.7   421.4   498.7   303.6  1397.0
1992   57.5   55.7   71.1  128.2  245.0  226.5  150.4  140.4  102.8   94.9   48.6   46.9   149.2   444.2   517.3   246.3  1367.9
1993   30.1   48.2  103.1  119.7  168.6  195.3  176.1  192.4  132.7  123.8   63.7   37.3   125.1   391.4   563.8   320.2  1391.0
1994   62.6   61.4   98.8  163.0  144.6  211.1  208.2  162.2  106.4  133.5   30.4   47.7   161.3   406.3   581.5   270.3  1429.9
1995   39.5   50.8  143.1  172.4  218.8  230.5  211.8  282.4  140.8  105.8   76.8   46.4   138.1   534.3   724.8   323.4  1719.2
1996   26.2  102.9   73.5  136.9  188.8  244.2  231.6  203.9  164.7   86.1   75.3   52.5   175.5   399.2   679.7   326.1  1586.6
1997   49.0   57.5  120.7  198.8  240.2  117.1  234.4  155.5  151.4  119.9   59.7   60.0   159.0   559.6   507.0   330.9  1564.1
1998   61.0   85.8   75.6  132.9  219.7  151.8  142.3  224.4  126.8   96.1   79.3   40.7   206.8   428.1   518.4   302.1  1436.2
1999   55.6   62.6  110.7  155.7  143.8  181.8  238.2  161.7  156.8  123.3   80.9   49.0   158.9   410.3   581.7   361.1  1520.2
2000   58.8   84.5  128.5  146.5  178.6  169.2  191.8  177.3  117.7   89.2   55.6   43.1   192.3   453.6   538.3   262.5  1440.8
2001   70.0   91.7   76.2  148.8  225.4  209.2  189.5  170.9  138.8   98.8   67.9   83.3   204.8   450.5   569.6   305.5  1570.6
2002   35.5   69.8  101.2  176.1  189.8  148.1  166.1  168.3  172.3   92.9   62.9   39.6   188.5   467.2   482.5   328.1  1422.6
2003   80.6   86.7  162.3  193.0  187.6  205.8  148.2  204.6  154.1  112.3   70.3   45.5   207.0   542.9   558.7   336.7  1651.2
2004   51.6   97.5  119.3  139.1  220.3  220.3  157.7  181.5  145.7   96.6   49.0   45.2   194.7   478.7   559.6   291.3  1523.9
2005   53.0   80.7   89.8  153.9  203.5  191.9  189.0  232.3  148.1   85.0   86.5   52.6   178.9   447.2   613.2   319.6  1566.2
2006   63.4   64.8   93.3  165.3  163.7  250.4  265.6  163.5  147.9   86.7   88.1   42.8   180.8   422.3   679.4   322.7  1595.4
2007   50.7   70.0  159.6  220.4  188.8  141.9  179.4  210.0  149.2  108.3   67.2   50.4   163.5   568.8   531.3   324.6  1595.8
2008   40.1  111.7  121.6  183.6  183.7  219.2  169.3  100.8  133.0  112.8   55.8   73.5   202.2   488.8   489.3   301.7  1505.1
2009   61.8   52.8  155.7  171.9  202.9  214.6  156.8  152.5  154.5   89.8   58.7   61.3   188.1   530.5   523.9   302.9  1533.2
2010   70.4   74.6  130.3  216.7  206.4  261.4  145.3  149.5  143.7  126.4   75.1   57.8   206.3   553.4   556.2   345.2  1657.6
2011   57.6   52.8  153.3  218.2  177.6  195.2  173.8  139.6  128.8   95.5   62.8   35.4   168.2   549.1   508.5   287.2  1490.4
2012   58.0   68.7  165.8  135.9  206.5  110.6  166.1  145.3  141.9   91.8   63.3   52.3   162.0   508.3   421.9   297.1  1406.3
2013   44.9   68.7   94.6  161.0  206.7  194.8  297.7  177.1  107.4   88.6   68.8   44.5   165.9   462.3   669.6   264.8  1554.8
2014   46.3   85.3  128.9  156.2  174.4  236.8  246.0  184.3  155.3   82.3   65.7   63.4   176.1   459.5   667.1   303.4  1624.9
2015   61.7   83.9  131.5  223.7  177.9  235.4  176.8  143.3  179.5   98.5   31.8   29.2   208.9   533.1   555.5   309.8  1573.1
2016   50.3   81.4  138.2  175.2  213.6  130.7  166.7  194.7  123.8  123.0   77.8   46.0   160.9   527.0   492.1   324.5  1521.2
2017   64.1   56.8   93.7  185.9  200.4  182.1  175.4  157.8  115.6   83.8   74.7   48.5   166.8   480.0   515.3   274.1  1438.7
2018   52.9  114.0   87.4  127.1  230.0  257.6  260.3  142.0  139.5  128.3   64.1   23.0   215.5   444.6   659.9   331.9  1626.4
2019   43.0  108.8  121.3  163.2  211.8  152.1  218.4  187.2  158.0   79.4   46.6   49.2   174.8   496.2   557.7   283.9  1538.9
2020   53.1   67.4  155.4  228.9  311.1  179.4  184.5  148.6  163.0   71.2   65.4   43.5   169.6   695.5   512.6   299.7  1671.7
2021   38.9   68.4  116.8  243.9  178.2  185.1  215.7  138.4  132.1   97.9   64.6   29.8   150.9   539.0   539.2   294.7  1510.0
2022   58.5   68.2  163.9  177.1  171.5  222.8  221.1  239.5  120.0  118.8   66.8   53.5   156.4   512.5   683.4   305.6  1681.7
2023   65.3   80.4   66.2  144.0  260.6  256.4  144.5  140.2  144.4   94.3   58.7   26.6   199.2   470.8   541.1   297.3  1481.5
2024   67.3   43.3   97.8  122.1  180.6  207.0  177.2  162.8  114.7  102.1   46.8   26.6   137.2   400.5   546.9   263.6  1348.4
2025   65.6   68.4  169.3  225.2  273.5  189.1  220.4  206.5  151.6   64.0   71.3   64.3   160.6   668.0   616.0   287.0  1769.3
2026   60.5   48.6  141.5  216.6                                                           173.4                                
