Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for East Anglia
Areal series, starting in 1910
Last updated 01-May-2026 11:32
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1991   75.5   46.4  101.0  161.6  138.9  133.1  212.7  234.8  184.6   88.7   52.1   51.6   167.4   401.5   580.6   325.4  1481.1
1992   53.5   67.6   73.3  125.4  265.1  219.8  166.1  170.7  134.6  106.7   65.3   49.7   172.7   463.8   556.6   306.6  1497.8
1993   43.5   38.4  129.1  123.3  208.4  211.3  188.2  207.4  102.7  117.1   63.5   43.7   131.5   460.8   606.9   283.3  1476.6
1994   71.2   78.3  128.7  169.8  152.1  234.1  251.9  189.6  113.3  116.8   47.1   65.8   193.2   450.6   675.6   277.2  1618.8
1995   56.7   85.1  185.8  172.8  222.2  176.7  266.6  272.2  137.3  143.5   63.3   35.4   207.6   580.9   715.5   344.0  1817.7
1996   23.0   88.0   69.3  160.1  177.2  246.9  227.3  193.9  135.5  137.9   94.3   56.6   146.4   406.7   668.2   367.7  1610.2
1997   51.7   61.8  137.1  173.5  247.4  156.3  221.0  219.5  167.9  147.3   57.2   36.2   170.1   557.9   596.8   372.4  1676.7
1998   52.9  117.4   73.3  117.5  211.6  151.2  163.3  221.1  121.5   97.7   78.0   40.8   206.4   402.4   535.6   297.3  1446.2
1999   68.5   91.1  104.7  174.0  196.8  212.8  250.4  161.0  150.9  138.0   72.0   73.5   200.4   475.4   624.2   360.9  1693.7
2000   72.7  107.1  109.9  145.2  186.9  182.4  129.6  218.6  124.8   94.5   71.7   46.6   253.3   442.0   530.6   291.0  1490.0
2001   85.4   76.4   76.5  141.1  244.7  203.5  201.8  200.0  112.2  111.7   78.7   77.3   208.4   462.4   605.3   302.5  1609.4
2002   51.1   85.5  116.2  206.1  182.2  179.5  178.2  163.0  151.2   91.9   56.9   24.1   214.0   504.5   520.7   300.0  1485.9
2003   60.7  110.1  169.2  198.8  200.7  210.6  202.7  228.6  209.4  151.0   72.0   57.7   194.9   568.7   641.9   432.4  1871.5
2004   55.0   70.8  106.4  151.6  191.3  199.3  185.1  184.6  169.6  103.7   53.4   57.2   183.5   449.3   569.0   326.7  1528.0
2005   75.1   63.3   70.5  147.0  217.1  190.6  158.2  196.9  156.5  107.8   94.7   65.6   195.6   434.5   545.7   359.0  1543.3
2006   50.8   65.0  113.4  151.9  157.7  237.8  284.1  150.7  168.3  112.5  103.5   43.1   181.4   423.1   672.6   384.3  1638.8
2007   62.8   63.5  169.0  214.9  138.6  160.1  190.5  183.6  160.6   97.4   77.5   55.3   169.4   522.6   534.2   335.5  1573.9
2008   56.8  123.0  110.6  164.9  205.5  199.1  212.2  132.0  113.3  128.9   52.5   67.9   235.1   481.0   543.3   294.7  1566.7
2009   53.1   56.5  141.4  184.6  220.9  204.6  206.1  211.0  156.8   85.4   80.1   64.9   177.5   546.9   621.7   322.2  1665.3
