Substation/Group,Voltage,Scenario,DFES Year,Financial Year,Headroom (MW),Headroom Type,Grid_Group,Primary_Group
ACER AVE T1,11.0,EE,2043.0,2043/44,0.0,Demand,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,ACER AVE T1
ACER AVE T1,11.0,EE,2045.0,2045/46,0.0,Demand,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,ACER AVE T1
ACER AVE T1,11.0,HE,2037.0,2037/38,0.0,Demand,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,ACER AVE T1
ACER AVE T1,11.0,HE,2039.0,2039/40,0.0,Demand,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,ACER AVE T1
ACER AVE T1,11.0,HE,2041.0,2041/42,0.0,Demand,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,ACER AVE T1
ACER AVE T1,11.0,HE,2043.0,2043/44,0.0,Demand,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,ACER AVE T1
ACER AVE T1,11.0,HE,2048.0,2048/49,0.0,Demand,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,ACER AVE T1
ACER AVE T1,11.0,HE,2049.0,2049/50,0.0,Demand,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,ACER AVE T1
ACER AVE T1,11.0,HT,2024.0,2024/25,9.264722750355329,Demand,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,ACER AVE T1
ACER AVE T1,11.0,HT,2032.0,2032/33,0.1674868558345715,Demand,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,ACER AVE T1
ACER AVE T1,11.0,HT,2035.0,2035/36,0.0,Demand,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,ACER AVE T1
ACER AVE T1,11.0,HT,2037.0,2037/38,0.0,Demand,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,ACER AVE T1
ACER AVE T1,11.0,HT,2038.0,2038/39,0.0,Demand,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,ACER AVE T1
ACER AVE T1,11.0,HT,2039.0,2039/40,0.0,Demand,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,ACER AVE T1
ACER AVE T1,11.0,HT,2041.0,2041/42,0.0,Demand,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,ACER AVE T1
ACER AVE T1,11.0,HT,2043.0,2043/44,0.0,Demand,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,ACER AVE T1
ACER AVE T1,11.0,HT,2049.0,2049/50,0.0,Demand,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,ACER AVE T1
ACORNFIELD RD T1 / DICKINSONS T1 / HAMMOND RD T1 / KODAK T1,11.0,EE,2035.0,2035/36,2.235603785160169,Demand,GILLMOSS GT1 / KIRKBY GT2 / SIMONSWOOD GT1,ACORNFIELD RD T1 / DICKINSONS T1 / HAMMOND RD T1 / KODAK T1
ACORNFIELD RD T1 / DICKINSONS T1 / HAMMOND RD T1 / KODAK T1,11.0,EE,2039.0,2039/40,0.0,Demand,GILLMOSS GT1 / KIRKBY GT2 / SIMONSWOOD GT1,ACORNFIELD RD T1 / DICKINSONS T1 / HAMMOND RD T1 / KODAK T1
ACORNFIELD RD T1 / DICKINSONS T1 / HAMMOND RD T1 / KODAK T1,11.0,EE,2040.0,2040/41,0.0,Demand,GILLMOSS GT1 / KIRKBY GT2 / SIMONSWOOD GT1,ACORNFIELD RD T1 / DICKINSONS T1 / HAMMOND RD T1 / KODAK T1
ACORNFIELD RD T1 / DICKINSONS T1 / HAMMOND RD T1 / KODAK T1,11.0,EE,2041.0,2041/42,0.0,Demand,GILLMOSS GT1 / KIRKBY GT2 / SIMONSWOOD GT1,ACORNFIELD RD T1 / DICKINSONS T1 / HAMMOND RD T1 / KODAK T1
ACORNFIELD RD T1 / DICKINSONS T1 / HAMMOND RD T1 / KODAK T1,11.0,EE,2042.0,2042/43,0.0,Demand,GILLMOSS GT1 / KIRKBY GT2 / SIMONSWOOD GT1,ACORNFIELD RD T1 / DICKINSONS T1 / HAMMOND RD T1 / KODAK T1
ACORNFIELD RD T1 / DICKINSONS T1 / HAMMOND RD T1 / KODAK T1,11.0,EE,2046.0,2046/47,0.0,Demand,GILLMOSS GT1 / KIRKBY GT2 / SIMONSWOOD GT1,ACORNFIELD RD T1 / DICKINSONS T1 / HAMMOND RD T1 / KODAK T1
ACORNFIELD RD T1 / DICKINSONS T1 / HAMMOND RD T1 / KODAK T1,11.0,EE,2047.0,2047/48,0.0,Demand,GILLMOSS GT1 / KIRKBY GT2 / SIMONSWOOD GT1,ACORNFIELD RD T1 / DICKINSONS T1 / HAMMOND RD T1 / KODAK T1
ACORNFIELD RD T1 / DICKINSONS T1 / HAMMOND RD T1 / KODAK T1,11.0,EE,2049.0,2049/50,0.0,Demand,GILLMOSS GT1 / KIRKBY GT2 / SIMONSWOOD GT1,ACORNFIELD RD T1 / DICKINSONS T1 / HAMMOND RD T1 / KODAK T1
