Substation/Group,Voltage,Scenario,Year,Financial Year,Headroom (MW),Headroom Type,GSP,Primary_Substation
HUNTER,11.0,HE,2037,2037/38,13.93847249800919,Demand,EAST KILBRIDE,HUNTER
HUNTER,11.0,HE,2039,2039/40,13.25353642847362,Demand,EAST KILBRIDE,HUNTER
HUNTER,11.0,HE,2042,2042/43,12.39078093693721,Demand,EAST KILBRIDE,HUNTER
HUNTER,11.0,HE,2044,2044/45,11.89105351415082,Demand,EAST KILBRIDE,HUNTER
HUNTER,11.0,HE,2047,2047/48,11.27611387538748,Demand,EAST KILBRIDE,HUNTER
HUNTER,11.0,HT,2024,2024/25,16.32852540475468,Demand,EAST KILBRIDE,HUNTER
HUNTER,11.0,HT,2025,2025/26,16.44553415348321,Demand,EAST KILBRIDE,HUNTER
HUNTER,11.0,HT,2026,2026/27,16.50684030780481,Demand,EAST KILBRIDE,HUNTER
HUNTER,11.0,HT,2028,2028/29,16.3874213436296,Demand,EAST KILBRIDE,HUNTER
HUNTER,11.0,HT,2029,2029/30,16.29220335892794,Demand,EAST KILBRIDE,HUNTER
HUNTER,11.0,HT,2033,2033/34,14.93122720371938,Demand,EAST KILBRIDE,HUNTER
HUNTER,11.0,HT,2036,2036/37,14.08550843359812,Demand,EAST KILBRIDE,HUNTER
HUNTER,11.0,HT,2043,2043/44,11.02063294333426,Demand,EAST KILBRIDE,HUNTER
HUNTER,11.0,HT,2044,2044/45,10.72225769942315,Demand,EAST KILBRIDE,HUNTER
HUNTER,11.0,HT,2046,2046/47,10.21473695775908,Demand,EAST KILBRIDE,HUNTER
HUNTER,11.0,HT,2049,2049/50,9.914077617741931,Demand,EAST KILBRIDE,HUNTER
HUNTER STREET,11.0,EE,2045,2045/46,0.0,Demand,CHARLOTTE STREET,HUNTER STREET
HUNTER STREET,11.0,EE,2046,2046/47,0.0,Demand,CHARLOTTE STREET,HUNTER STREET
HUNTER STREET,11.0,EE,2047,2047/48,0.0,Demand,CHARLOTTE STREET,HUNTER STREET
HUNTER STREET,11.0,HE,2037,2037/38,3.970637011305485,Demand,CHARLOTTE STREET,HUNTER STREET
HUNTER STREET,11.0,HE,2045,2045/46,0.2261994697334266,Demand,CHARLOTTE STREET,HUNTER STREET
HUNTER STREET,11.0,HE,2048,2048/49,0.0,Demand,CHARLOTTE STREET,HUNTER STREET
HUNTER STREET,11.0,HT,2031,2031/32,7.304739083420259,Demand,CHARLOTTE STREET,HUNTER STREET
HUNTER STREET,11.0,HT,2035,2035/36,4.334969128802989,Demand,CHARLOTTE STREET,HUNTER STREET
HUNTER STREET,11.0,HT,2036,2036/37,3.624460151346373,Demand,CHARLOTTE STREET,HUNTER STREET
HUNTER STREET,11.0,HT,2039,2039/40,0.7372874559097617,Demand,CHARLOTTE STREET,HUNTER STREET
HUNTER STREET,11.0,HT,2041,2041/42,0.0,Demand,CHARLOTTE STREET,HUNTER STREET
HUNTER STREET,11.0,HT,2047,2047/48,0.0,Demand,CHARLOTTE STREET,HUNTER STREET
HUNTERSTON (PRIMARY),11.0,EE,2036,2036/37,13.99586838299037,Demand,HUNTERSTON FARM,HUNTERSTON (PRIMARY)
HUNTERSTON (PRIMARY),11.0,EE,2039,2039/40,13.53493307350945,Demand,HUNTERSTON FARM,HUNTERSTON (PRIMARY)
HUNTERSTON (PRIMARY),11.0,EE,2043,2043/44,13.24596895530332,Demand,HUNTERSTON FARM,HUNTERSTON (PRIMARY)
HUNTERSTON (PRIMARY),11.0,EE,2044,2044/45,13.23916819256962,Demand,HUNTERSTON FARM,HUNTERSTON (PRIMARY)
HUNTERSTON (PRIMARY),11.0,EE,2048,2048/49,13.30292144814307,Demand,HUNTERSTON FARM,HUNTERSTON (PRIMARY)
HUNTERSTON (PRIMARY),11.0,EE,2049,2049/50,13.3196269837858,Demand,HUNTERSTON FARM,HUNTERSTON (PRIMARY)
HUNTERSTON (PRIMARY),11.0,HE,2035,2035/36,14.21603977187856,Demand,HUNTERSTON FARM,HUNTERSTON (PRIMARY)
HUNTERSTON (PRIMARY),11.0,HE,2037,2037/38,13.84460316312341,Demand,HUNTERSTON FARM,HUNTERSTON (PRIMARY)
HUNTERSTON (PRIMARY),11.0,HE,2039,2039/40,13.5624214090324,Demand,HUNTERSTON FARM,HUNTERSTON (PRIMARY)
HUNTERSTON (PRIMARY),11.0,HT,2024,2024/25,16.13862393066293,Demand,HUNTERSTON FARM,HUNTERSTON (PRIMARY)
HUNTERSTON (PRIMARY),11.0,HT,2026,2026/27,16.01227114133644,Demand,HUNTERSTON FARM,HUNTERSTON (PRIMARY)
HUNTERSTON (PRIMARY),11.0,HT,2027,2027/28,15.91418298978629,Demand,HUNTERSTON FARM,HUNTERSTON (PRIMARY)
HUNTERSTON (PRIMARY),11.0,HT,2029,2029/30,15.58382699280923,Demand,HUNTERSTON FARM,HUNTERSTON (PRIMARY)
HUNTERSTON (PRIMARY),11.0,HT,2035,2035/36,14.20518154570084,Demand,HUNTERSTON FARM,HUNTERSTON (PRIMARY)
HUNTERSTON (PRIMARY),11.0,HT,2036,2036/37,14.0066939076651,Demand,HUNTERSTON FARM,HUNTERSTON (PRIMARY)
HUNTERSTON (PRIMARY),11.0,HT,2037,2037/38,13.82962668975047,Demand,HUNTERSTON FARM,HUNTERSTON (PRIMARY)
HUNTERSTON (PRIMARY),11.0,HT,2039,2039/40,13.55392317719078,Demand,HUNTERSTON FARM,HUNTERSTON (PRIMARY)
HUNTERSTON (PRIMARY),11.0,HT,2042,2042/43,13.31930153065732,Demand,HUNTERSTON FARM,HUNTERSTON (PRIMARY)
HUNTERSTON (PRIMARY),11.0,HT,2044,2044/45,13.30900352134471,Demand,HUNTERSTON FARM,HUNTERSTON (PRIMARY)
HUNTERSTON (PRIMARY),11.0,HT,2046,2046/47,13.33551256112995,Demand,HUNTERSTON FARM,HUNTERSTON (PRIMARY)
INVERKIP ROAD,11.0,EE,2035,2035/36,13.41937825473033,Demand,SPANGO VALLEY,INVERKIP ROAD
INVERKIP ROAD,11.0,EE,2042,2042/43,10.50490060503466,Demand,SPANGO VALLEY,INVERKIP ROAD
INVERKIP ROAD,11.0,EE,2044,2044/45,10.00725733522271,Demand,SPANGO VALLEY,INVERKIP ROAD
INVERKIP ROAD,11.0,EE,2046,2046/47,9.643141178051051,Demand,SPANGO VALLEY,INVERKIP ROAD
INVERKIP ROAD,11.0,EE,2048,2048/49,9.341323228288136,Demand,SPANGO VALLEY,INVERKIP ROAD
INVERKIP ROAD,11.0,HE,2036,2036/37,13.96599356980146,Demand,SPANGO VALLEY,INVERKIP ROAD
INVERKIP ROAD,11.0,HE,2038,2038/39,13.24138140102031,Demand,SPANGO VALLEY,INVERKIP ROAD
INVERKIP ROAD,11.0,HE,2039,2039/40,12.90661378175128,Demand,SPANGO VALLEY,INVERKIP ROAD
INVERKIP ROAD,11.0,HE,2045,2045/46,11.5629267769432,Demand,SPANGO VALLEY,INVERKIP ROAD
INVERKIP ROAD,11.0,HE,2046,2046/47,11.42012932326216,Demand,SPANGO VALLEY,INVERKIP ROAD
INVERKIP ROAD,11.0,HE,2048,2048/49,11.20020990016353,Demand,SPANGO VALLEY,INVERKIP ROAD
INVERKIP ROAD,11.0,HE,2049,2049/50,11.086683919358,Demand,SPANGO VALLEY,INVERKIP ROAD
INVERKIP ROAD,11.0,HT,2024,2024/25,17.16458179523434,Demand,SPANGO VALLEY,INVERKIP ROAD
INVERKIP ROAD,11.0,HT,2026,2026/27,17.20965128971074,Demand,SPANGO VALLEY,INVERKIP ROAD
INVERKIP ROAD,11.0,HT,2028,2028/29,16.92960899883106,Demand,SPANGO VALLEY,INVERKIP ROAD
INVERKIP ROAD,11.0,HT,2032,2032/33,15.24912205116153,Demand,SPANGO VALLEY,INVERKIP ROAD
