Activity Class,District,Representative Station,OSM Type,OSM ID,Building Name,Storeys,Type Tags,OSM URL
Health: Health centre,England SE and Central S,London,way,424202424,The Child and Family Practice,3.0,building=yes; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/424202424
Health: Health centre,England SE and Central S,London,way,466092971,BPAS London East,3.0,building=yes; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/466092971
Health: Health centre,England SE and Central S,London,way,468562279,Harpal Clinic,3.0,building=yes; amenity=doctors; healthcare=clinic,https://www.openstreetmap.org/way/468562279
Health: Health centre,England SE and Central S,London,way,517043308,Gracefield Gardens Health Centre,3.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/517043308
Health: Health centre,England SE and Central S,London,way,531145134,Cadogan Clinic,3.0,building=yes; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/531145134
Health: Health centre,England SE and Central S,London,way,583302264,The Corner Surgery,3.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/583302264
Health: Health centre,England SE and Central S,London,way,586711056,Q Sports Physio,3.0,building=retail; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/586711056
Health: Health centre,England SE and Central S,London,way,737130563,Commercial Way Surgery,3.0,building=house; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/737130563
Health: Health centre,England SE and Central S,London,way,817843183,The Jubilee Street Practice,3.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/817843183
Health: Health centre,England SE and Central S,London,way,961323112,The North Clinic,3.0,building=retail; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/961323112
Health: Health centre,England SE and Central S,London,way,999059265,Falkland House Health Clinic,3.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/999059265
Health: Health centre,England SE and Central S,London,way,1039675536,360 Med,3.0,building=retail; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/1039675536
Health: Health centre,England SE and Central S,London,relation,2283501,Hollyfield House,3.0,building=yes; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/relation/2283501
Health: Health centre,England SE and Central S,London,way,31009486,Northern Health Centre,4.0,building=hospital; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/31009486
Health: Health centre,England SE and Central S,London,way,68741584,The University College Of Osteopathy Clinic,4.0,building=yes; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/68741584
Health: Health centre,England SE and Central S,London,way,78230904,Acuherbal,4.0,building=yes; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/78230904
Health: Health centre,England SE and Central S,London,way,131724838,London Claremont Clinic,4.0,building=residential; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/131724838
Health: Health centre,England SE and Central S,London,way,155731386,The Holborn Hair Scalp Clinic,4.0,building=yes; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/155731386
Health: Health centre,England SE and Central S,London,way,155894326,Cosmetic Courses,4.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/155894326
Health: Health centre,England SE and Central S,London,way,235396573,Biomedic,4.0,building=residential; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/235396573
Health: Health centre,England SE and Central S,London,way,432808217,Healing Hands,4.0,building=yes; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/432808217
Health: Health centre,England SE and Central S,London,way,495482966,HCA Sydney Street,4.0,building=yes; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/495482966
Health: Health centre,England SE and Central S,London,way,669890680,Doctors Surgery,4.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/669890680
Health: Health centre,England SE and Central S,London,way,833139543,Medicare Francais,4.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/833139543
Health: Health centre,England SE and Central S,London,way,1386072187,London Psychiatry Clinic,4.0,building=house; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/1386072187
Health: Health centre,England SE and Central S,London,way,1386072203,Fitzroy Medical Centre,4.0,building=house; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/1386072203
Health: Health centre,England SE and Central S,London,way,1420612995,The Helix Clinic,4.0,building=house; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/1420612995
Health: Health centre,England SE and Central S,London,way,107037596,St Stephen's Centre,5.0,building=hospital; healthcare=centre,https://www.openstreetmap.org/way/107037596
Health: Health centre,England SE and Central S,London,way,132165779,Hunter Street Health Centre,5.0,building=yes; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/132165779
Health: Health centre,England SE and Central S,London,way,144161060,West Ham Lane Health Centre,5.0,building=civic; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/144161060
Health: Health centre,England SE and Central S,London,way,160460159,Sir Ludwig Guttmann Health and Wellbeing Centre,5.0,building=public; healthcare=centre,https://www.openstreetmap.org/way/160460159
Health: Health centre,England SE and Central S,London,way,202352323,Crawford Street Surgery,5.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/202352323
Health: Health centre,England SE and Central S,London,way,531123862,90 Sloane Street,5.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/531123862
Health: Health centre,England SE and Central S,London,way,800176334,Medisonal,5.0,building=house; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/800176334
Health: Health centre,England SE and Central S,London,way,116513334,Centre for Surgery,6.0,building=residential; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/116513334
Health: Health centre,England SW and S Wales,Exeter,way,165996323,Mount Pleasant Health Centre,1.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/165996323
Health: Health centre,England SW and S Wales,Exeter,way,377892521,Exwick Health Centre,1.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/377892521
Health: Health centre,England SW and S Wales,Exeter,way,251542548,The Health Centre,2.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/251542548
Health: Health centre,England SW and S Wales,Exeter,way,391192630,The Whipton Surgery,2.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/391192630
Health: Health centre,England SW and S Wales,Exeter,way,475474916,Topsham Surgery,2.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/475474916
Health: Health centre,Midlands,Birmingham,way,56312780,Hearing Services Centre,1.0,building=hospital; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/56312780
Health: Health centre,Midlands,Birmingham,way,135337276,Cotmore Surgery,2.0,building=residential; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/135337276
Health: Health centre,Midlands,Birmingham,way,766188953,Scott Arms Medical Centre,2.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/766188953
Health: Health centre,Midlands,Birmingham,relation,11978016,Birmingham Treatment Centre,2.0,building=hospital; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/relation/11978016
Health: Health centre,Midlands,Birmingham,way,56312765,Birmingham and Midland Eye Centre,4.0,building=hospital; amenity=clinic,https://www.openstreetmap.org/way/56312765
Health: Health centre,Midlands,Birmingham,way,72843096,Ronald McDonald House,7.0,building=hospital; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/72843096
Health: Health centre,Scotland E,Edinburgh,way,135717639,Lothian Birth Centre,1.0,building=hospital; amenity=clinic; healthcare=hospital,https://www.openstreetmap.org/way/135717639
Health: Health centre,Scotland E,Edinburgh,way,254768654,Parkgrove Medical Centre,1.0,building=yes; amenity=clinic,https://www.openstreetmap.org/way/254768654
Health: Health centre,Scotland E,Edinburgh,way,283085210,Liberton Medical Group,1.0,building=office; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/283085210
Health: Health centre,Scotland E,Edinburgh,way,30242766,Gracemount Medical Centre,2.0,building=yes; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/30242766
Health: Health centre,Scotland E,Edinburgh,relation,3095116,Sighthill Health Centre,2.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/relation/3095116
Health: Health centre,Scotland E,Edinburgh,relation,10354841,Allermuir Health Centre,3.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/relation/10354841
Health: Health centre,Scotland E,Edinburgh,relation,14194082,Pennywell All Care Centre,3.0,building=public; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/relation/14194082
Health: Health centre,Scotland W,Glasgow,way,128408362,Kelvin Medical Centre,1.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/128408362
Health: Hospital,East Anglia,Norwich,way,188348588,,1.0,building=hospital,https://www.openstreetmap.org/way/188348588
Health: Hospital,East Anglia,Norwich,way,541582339,Norwich Central Eye Clinic,2.0,building=hospital; shop=optician,https://www.openstreetmap.org/way/541582339
Health: Hospital,East Anglia,Norwich,way,662970359,Mile End Road Surgery,2.0,building=hospital; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/662970359
Health: Hospital,England E and NE,Newcastle,way,96429000,Cobalt Treatment Centre,1.0,building=yes; amenity=hospital; healthcare=hospital,https://www.openstreetmap.org/way/96429000
Health: Hospital,England E and NE,Newcastle,way,1160285013,,1.0,building=hospital,https://www.openstreetmap.org/way/1160285013
Health: Hospital,England E and NE,Newcastle,way,456377493,Crawford House,4.0,building=hospital,https://www.openstreetmap.org/way/456377493
Health: Hospital,England E and NE,Newcastle,relation,2322767,Leazes Wing (RVI),4.0,building=hospital,https://www.openstreetmap.org/relation/2322767
Health: Hospital,England E and NE,Newcastle,relation,2322765,New Victoria Wing (RVI),5.0,building=hospital,https://www.openstreetmap.org/relation/2322765
Health: Hospital,England E and NE,Newcastle,way,80330629,Peacock Hall (RVI),7.0,building=hospital,https://www.openstreetmap.org/way/80330629
Health: Hospital,England E and NE,Newcastle,way,1160285010,Clinical Resource Building (RVI),7.0,building=hospital,https://www.openstreetmap.org/way/1160285010
Health: Hospital,England NW and N Wales,Manchester,way,613466603,,0.75,building=hospital,https://www.openstreetmap.org/way/613466603
Health: Hospital,England NW and N Wales,Manchester,way,389962666,,1.0,building=hospital,https://www.openstreetmap.org/way/389962666
Health: Hospital,England NW and N Wales,Manchester,way,172944634,Old Saint Mary’s,3.0,building=hospital,https://www.openstreetmap.org/way/172944634
Health: Hospital,England NW and N Wales,Manchester,relation,8522482,,3.0,building=hospital,https://www.openstreetmap.org/relation/8522482
Health: Hospital,England NW and N Wales,Manchester,way,172944606,Cobbett House,4.0,building=hospital,https://www.openstreetmap.org/way/172944606
Health: Hospital,England NW and N Wales,Manchester,relation,2309619,Manchester Royal Infirmary,5.0,building=hospital,https://www.openstreetmap.org/relation/2309619
Health: Hospital,England SE and Central S,London,way,36130142,,1.0,building=hospital,https://www.openstreetmap.org/way/36130142
Health: Hospital,England SE and Central S,London,way,41565630,Childrens A&E,1.0,building=hospital,https://www.openstreetmap.org/way/41565630
Health: Hospital,England SE and Central S,London,way,81792390,,1.0,building=hospital,https://www.openstreetmap.org/way/81792390
Health: Hospital,England SE and Central S,London,way,89873331,,1.0,building=hospital,https://www.openstreetmap.org/way/89873331
Health: Hospital,England SE and Central S,London,way,90830728,,1.0,building=hospital,https://www.openstreetmap.org/way/90830728
Health: Hospital,England SE and Central S,London,way,90830740,,1.0,building=hospital,https://www.openstreetmap.org/way/90830740
Health: Hospital,England SE and Central S,London,way,184156416,The Bridge,1.0,building=hospital,https://www.openstreetmap.org/way/184156416
Health: Hospital,England SE and Central S,London,way,193023273,Respiratory Medicine & Allergy,1.0,building=hospital,https://www.openstreetmap.org/way/193023273
Health: Hospital,England SE and Central S,London,way,193023275,Surgical Nurse Specialists,1.0,building=hospital,https://www.openstreetmap.org/way/193023275
Health: Hospital,England SE and Central S,London,way,244634584,Shirley House,1.0,building=hospital,https://www.openstreetmap.org/way/244634584
Health: Hospital,England SE and Central S,London,way,273838375,Chapel of Rest & Mortuary,1.0,building=hospital,https://www.openstreetmap.org/way/273838375
Health: Hospital,England SE and Central S,London,way,532066393,City and Hackney Mind,1.0,building=hospital,https://www.openstreetmap.org/way/532066393
Health: Hospital,England SE and Central S,London,way,544525130,Belgrave Medical Centre,1.0,building=hospital; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/544525130
Health: Hospital,England SE and Central S,London,way,583371372,Venetian Building,1.0,building=hospital,https://www.openstreetmap.org/way/583371372
Health: Hospital,England SE and Central S,London,way,589467971,Medivet,1.0,building=hospital; amenity=veterinary,https://www.openstreetmap.org/way/589467971
